Unique Key,Created Date,Closed Date,Agency,Complaint Type,Descriptor,Location Type,Incident Zip,Borough,Status,Resolution Description
5686,07/27/2023 12:00:00 AM,,DSNY,Street Condition,Descriptor for Plumbing,Commercial Building,11215,STATEN ISLAND,Pending,Resolution for complaint 5685
5687,11/03/2023 12:00:00 AM,07/07/2023 12:00:00 AM,DOB,Graffiti,Descriptor for Blocked Driveway,Residential Building,10003,QUEENS,Pending,Resolution for complaint 5686
5688,10/16/2023 12:00:00 AM,04/20/2023 12:00:00 AM,FDNY,Air Quality,Descriptor for Air Quality,School,10001,QUEENS,In Progress,Resolution for complaint 5687
5689,11/23/2023 12:00:00 AM,09/01/2023 12:00:00 AM,DPR,Traffic Signal Condition,Descriptor for Blocked Driveway,Residential Building,10002,QUEENS,In Progress,Resolution for complaint 5688
5690,01/10/2023 12:00:00 AM,09/26/2023 12:00:00 AM,FDNY,Air Quality,Descriptor for Street Light Condition,Park/Playground,10001,MANHATTAN,Open,Resolution for complaint 5689
5691,12/05/2023 12:00:00 AM,,DOT,Illegal Parking,Descriptor for Water System,Street/Sidewalk,11201,STATEN ISLAND,In Progress,Resolution for complaint 5690
5692,05/26/2023 12:00:00 AM,08/18/2023 12:00:00 AM,DOT,Plumbing,Descriptor for Traffic Signal Condition,School,11215,STATEN ISLAND,Open,Resolution for complaint 5691
5693,02/13/2023 12:00:00 AM,01/24/2023 12:00:00 AM,DSNY,Air Quality,Descriptor for Water System,Park/Playground,10003,STATEN ISLAND,Closed,Resolution for complaint 5692
5694,04/21/2023 12:00:00 AM,,DOB,Noise - Residential,Descriptor for Street Light Condition,Commercial Building,10001,STATEN ISLAND,Open,Resolution for complaint 5693
5695,08/18/2023 12:00:00 AM,03/18/2023 12:00:00 AM,DEP,Graffiti,Descriptor for Graffiti,Residential Building,10451,QUEENS,Open,Resolution for complaint 5694
5696,11/07/2023 12:00:00 AM,11/26/2023 12:00:00 AM,DSNY,Heat/Hot Water,Descriptor for Paint/Plaster,Commercial Building,10301,MANHATTAN,Closed,
5697,08/30/2023 12:00:00 AM,05/26/2023 12:00:00 AM,NYPD,Traffic Signal Condition,Descriptor for Plumbing,Park/Playground,10003,BROOKLYN,Closed,
5698,09/04/2023 12:00:00 AM,02/14/2023 12:00:00 AM,NYPD,Air Quality,Descriptor for Water System,School,10002,BRONX,Closed,Resolution for complaint 5697
5699,03/29/2023 12:00:00 AM,,HPD,Water System,Descriptor for Street Light Condition,Street/Sidewalk,10301,BROOKLYN,Open,Resolution for complaint 5698
5700,04/23/2023 12:00:00 AM,08/22/2023 12:00:00 AM,HPD,Heat/Hot Water,Descriptor for Heat/Hot Water,Residential Building,10001,MANHATTAN,Open,
5701,07/30/2023 12:00:00 AM,09/28/2023 12:00:00 AM,HPD,Blocked Driveway,Descriptor for Traffic Signal Condition,Commercial Building,11215,STATEN ISLAND,Closed,Resolution for complaint 5700
5702,11/04/2023 12:00:00 AM,03/04/2023 12:00:00 AM,DOB,Street Light Condition,Descriptor for Water System,Residential Building,10451,BROOKLYN,In Progress,Resolution for complaint 5701
5703,03/15/2023 12:00:00 AM,09/26/2023 12:00:00 AM,FDNY,Paint/Plaster,Descriptor for Traffic Signal Condition,Residential Building,10451,MANHATTAN,Pending,Resolution for complaint 5702
5704,10/26/2023 12:00:00 AM,01/31/2023 12:00:00 AM,NYPD,Noise - Residential,Descriptor for Building/Use,School,10301,QUEENS,Open,Resolution for complaint 5703
5705,04/04/2023 12:00:00 AM,03/09/2023 12:00:00 AM,HPD,Plumbing,Descriptor for Street Condition,School,10001,MANHATTAN,Pending,Resolution for complaint 5704
5706,11/16/2023 12:00:00 AM,01/04/2023 12:00:00 AM,DSNY,Plumbing,Descriptor for Building/Use,Residential Building,10002,STATEN ISLAND,In Progress,Resolution for complaint 5705
5707,12/04/2023 12:00:00 AM,,DSNY,Heat/Hot Water,Descriptor for Rodent,Residential Building,10301,MANHATTAN,Open,Resolution for complaint 5706
5708,09/19/2023 12:00:00 AM,,DEP,Rodent,Descriptor for Graffiti,Residential Building,10451,STATEN ISLAND,Closed,Resolution for complaint 5707
5709,05/16/2023 12:00:00 AM,09/27/2023 12:00:00 AM,DSNY,Air Quality,Descriptor for Illegal Parking,School,10003,QUEENS,Open,Resolution for complaint 5708
5710,03/27/2023 12:00:00 AM,06/28/2023 12:00:00 AM,DPR,Street Condition,Descriptor for Blocked Driveway,Commercial Building,10002,STATEN ISLAND,Open,Resolution for complaint 5709
5711,12/18/2023 12:00:00 AM,03/12/2023 12:00:00 AM,NYPD,Street Light Condition,Descriptor for Street Condition,Commercial Building,10002,BROOKLYN,Closed,
5712,06/25/2023 12:00:00 AM,10/13/2023 12:00:00 AM,DSNY,Illegal Parking,Descriptor for Heat/Hot Water,Street/Sidewalk,10451,STATEN ISLAND,In Progress,Resolution for complaint 5711
5713,08/21/2023 12:00:00 AM,08/08/2023 12:00:00 AM,DOT,Plumbing,Descriptor for Traffic Signal Condition,Residential Building,10301,BRONX,Pending,Resolution for complaint 5712
5714,11/02/2023 12:00:00 AM,06/16/2023 12:00:00 AM,HPD,Noise - Residential,Descriptor for Traffic Signal Condition,Residential Building,10002,MANHATTAN,Closed,Resolution for complaint 5713
5715,10/30/2023 12:00:00 AM,10/26/2023 12:00:00 AM,DPR,Sanitation Condition,Descriptor for Noise - Residential,Street/Sidewalk,10003,QUEENS,Pending,Resolution for complaint 5714
5716,02/05/2023 12:00:00 AM,08/19/2023 12:00:00 AM,NYPD,Rodent,Descriptor for Heat/Hot Water,Park/Playground,11201,BRONX,Pending,Resolution for complaint 5715
5717,04/28/2023 12:00:00 AM,05/24/2023 12:00:00 AM,DOT,Paint/Plaster,Descriptor for Noise - Residential,Park/Playground,10001,BROOKLYN,In Progress,
5718,07/13/2023 12:00:00 AM,,DSNY,Rodent,Descriptor for Blocked Driveway,Street/Sidewalk,11215,MANHATTAN,In Progress,Resolution for complaint 5717
5719,07/17/2023 12:00:00 AM,,DPR,Noise - Residential,Descriptor for Building/Use,Street/Sidewalk,10451,STATEN ISLAND,Open,Resolution for complaint 5718
5720,03/09/2023 12:00:00 AM,06/22/2023 12:00:00 AM,NYPD,Graffiti,Descriptor for Building/Use,Residential Building,11372,BRONX,Open,Resolution for complaint 5719
5721,02/25/2023 12:00:00 AM,12/09/2023 12:00:00 AM,FDNY,Paint/Plaster,Descriptor for Air Quality,Park/Playground,11201,BROOKLYN,In Progress,Resolution for complaint 5720
5722,01/09/2023 12:00:00 AM,,DOB,Blocked Driveway,Descriptor for Plumbing,Commercial Building,10451,STATEN ISLAND,In Progress,Resolution for complaint 5721
5723,04/14/2023 12:00:00 AM,10/29/2023 12:00:00 AM,DEP,Noise - Residential,Descriptor for Illegal Parking,Park/Playground,11372,QUEENS,Closed,
5724,09/25/2023 12:00:00 AM,07/06/2023 12:00:00 AM,DOB,Street Light Condition,Descriptor for Illegal Parking,School,10001,BROOKLYN,Closed,
5725,09/16/2023 12:00:00 AM,06/12/2023 12:00:00 AM,DSNY,Blocked Driveway,Descriptor for Water System,Commercial Building,10002,BROOKLYN,In Progress,Resolution for complaint 5724
5726,12/17/2023 12:00:00 AM,11/11/2023 12:00:00 AM,DSNY,Noise - Residential,Descriptor for Graffiti,Street/Sidewalk,10451,BROOKLYN,Open,
5727,08/03/2023 12:00:00 AM,,HPD,Graffiti,Descriptor for Traffic Signal Condition,Park/Playground,10451,MANHATTAN,In Progress,
5728,03/18/2023 12:00:00 AM,06/05/2023 12:00:00 AM,DPR,Building/Use,Descriptor for Building/Use,Park/Playground,11372,QUEENS,In Progress,
5729,11/07/2023 12:00:00 AM,03/02/2023 12:00:00 AM,DSNY,Graffiti,Descriptor for Blocked Driveway,Street/Sidewalk,10002,BRONX,In Progress,Resolution for complaint 5728
5730,02/19/2023 12:00:00 AM,12/21/2023 12:00:00 AM,HPD,Illegal Parking,Descriptor for Blocked Driveway,School,11201,BROOKLYN,In Progress,
5731,04/01/2023 12:00:00 AM,06/20/2023 12:00:00 AM,DOT,Graffiti,Descriptor for Paint/Plaster,Residential Building,10451,QUEENS,Pending,Resolution for complaint 5730
5732,09/01/2023 12:00:00 AM,,DPR,Street Light Condition,Descriptor for Graffiti,School,10451,BROOKLYN,In Progress,Resolution for complaint 5731
5733,11/11/2023 12:00:00 AM,01/04/2023 12:00:00 AM,HPD,Sanitation Condition,Descriptor for Air Quality,Street/Sidewalk,10003,STATEN ISLAND,Open,Resolution for complaint 5732
5734,11/04/2023 12:00:00 AM,01/22/2023 12:00:00 AM,DEP,Illegal Parking,Descriptor for Paint/Plaster,Park/Playground,10003,BRONX,Open,Resolution for complaint 5733
5735,01/20/2023 12:00:00 AM,,DSNY,Rodent,Descriptor for Sanitation Condition,Street/Sidewalk,10003,BRONX,Pending,Resolution for complaint 5734
5736,09/30/2023 12:00:00 AM,11/24/2023 12:00:00 AM,DPR,Rodent,Descriptor for Air Quality,Street/Sidewalk,10001,STATEN ISLAND,In Progress,Resolution for complaint 5735
5737,09/15/2023 12:00:00 AM,,DEP,Heat/Hot Water,Descriptor for Paint/Plaster,Park/Playground,10451,BROOKLYN,Closed,Resolution for complaint 5736
5738,03/02/2023 12:00:00 AM,04/29/2023 12:00:00 AM,DOT,Heat/Hot Water,Descriptor for Noise - Residential,Park/Playground,10002,QUEENS,Pending,
5739,02/17/2023 12:00:00 AM,,FDNY,Blocked Driveway,Descriptor for Rodent,Park/Playground,10001,BROOKLYN,In Progress,
5740,09/04/2023 12:00:00 AM,,DSNY,Noise - Residential,Descriptor for Street Condition,Street/Sidewalk,10003,BROOKLYN,Closed,
5741,12/04/2023 12:00:00 AM,03/01/2023 12:00:00 AM,DPR,Air Quality,Descriptor for Traffic Signal Condition,Residential Building,10002,STATEN ISLAND,Pending,Resolution for complaint 5740
5742,03/08/2023 12:00:00 AM,06/12/2023 12:00:00 AM,FDNY,Graffiti,Descriptor for Water System,Residential Building,11201,MANHATTAN,Closed,Resolution for complaint 5741
5743,11/05/2023 12:00:00 AM,,NYPD,Traffic Signal Condition,Descriptor for Building/Use,Commercial Building,10001,QUEENS,Open,Resolution for complaint 5742
5744,10/04/2023 12:00:00 AM,,FDNY,Traffic Signal Condition,Descriptor for Street Light Condition,Street/Sidewalk,11372,QUEENS,Closed,Resolution for complaint 5743
5745,01/01/2023 12:00:00 AM,01/18/2023 12:00:00 AM,DOB,Plumbing,Descriptor for Blocked Driveway,Residential Building,10001,BRONX,Closed,Resolution for complaint 5744
5746,12/14/2023 12:00:00 AM,11/21/2023 12:00:00 AM,DOT,Plumbing,Descriptor for Plumbing,Residential Building,10451,QUEENS,Open,
5747,11/29/2023 12:00:00 AM,10/12/2023 12:00:00 AM,DSNY,Building/Use,Descriptor for Rodent,Park/Playground,11201,BROOKLYN,Pending,
5748,08/09/2023 12:00:00 AM,12/16/2023 12:00:00 AM,DOB,Paint/Plaster,Descriptor for Blocked Driveway,Commercial Building,11215,BROOKLYN,Closed,Resolution for complaint 5747
5749,09/25/2023 12:00:00 AM,,DOB,Plumbing,Descriptor for Illegal Parking,Street/Sidewalk,10301,STATEN ISLAND,Pending,
5750,08/04/2023 12:00:00 AM,09/24/2023 12:00:00 AM,DOB,Illegal Parking,Descriptor for Traffic Signal Condition,School,11201,STATEN ISLAND,Open,Resolution for complaint 5749
5751,07/09/2023 12:00:00 AM,07/16/2023 12:00:00 AM,DOT,Paint/Plaster,Descriptor for Street Light Condition,School,11215,QUEENS,In Progress,Resolution for complaint 5750
5752,01/23/2023 12:00:00 AM,11/14/2023 12:00:00 AM,HPD,Blocked Driveway,Descriptor for Sanitation Condition,Park/Playground,10002,QUEENS,Open,Resolution for complaint 5751
5753,12/24/2023 12:00:00 AM,09/09/2023 12:00:00 AM,HPD,Noise - Residential,Descriptor for Street Condition,Residential Building,11215,BRONX,Pending,Resolution for complaint 5752
5754,09/29/2023 12:00:00 AM,,DOB,Illegal Parking,Descriptor for Sanitation Condition,Commercial Building,10451,QUEENS,Closed,Resolution for complaint 5753
5755,08/08/2023 12:00:00 AM,12/20/2023 12:00:00 AM,DOT,Street Light Condition,Descriptor for Street Condition,Residential Building,10001,QUEENS,In Progress,Resolution for complaint 5754
5756,04/28/2023 12:00:00 AM,04/24/2023 12:00:00 AM,HPD,Paint/Plaster,Descriptor for Water System,Commercial Building,10003,BROOKLYN,Closed,Resolution for complaint 5755
5757,09/04/2023 12:00:00 AM,11/23/2023 12:00:00 AM,DOT,Illegal Parking,Descriptor for Illegal Parking,Street/Sidewalk,11215,STATEN ISLAND,Open,
5758,07/15/2023 12:00:00 AM,05/30/2023 12:00:00 AM,DEP,Water System,Descriptor for Sanitation Condition,Park/Playground,10301,BROOKLYN,Pending,Resolution for complaint 5757
5759,06/29/2023 12:00:00 AM,03/18/2023 12:00:00 AM,DEP,Air Quality,Descriptor for Water System,Commercial Building,11215,QUEENS,Pending,Resolution for complaint 5758
5760,10/29/2023 12:00:00 AM,03/08/2023 12:00:00 AM,DSNY,Water System,Descriptor for Water System,Street/Sidewalk,10001,MANHATTAN,Pending,
5761,12/23/2023 12:00:00 AM,09/21/2023 12:00:00 AM,DSNY,Rodent,Descriptor for Rodent,School,10301,BRONX,Open,
5762,10/22/2023 12:00:00 AM,12/27/2023 12:00:00 AM,FDNY,Illegal Parking,Descriptor for Air Quality,Street/Sidewalk,11215,QUEENS,In Progress,
5763,02/20/2023 12:00:00 AM,,DSNY,Graffiti,Descriptor for Blocked Driveway,Residential Building,11201,QUEENS,In Progress,
5764,08/06/2023 12:00:00 AM,04/18/2023 12:00:00 AM,NYPD,Plumbing,Descriptor for Heat/Hot Water,Park/Playground,11215,MANHATTAN,Pending,
5765,03/10/2023 12:00:00 AM,02/05/2023 12:00:00 AM,HPD,Street Condition,Descriptor for Illegal Parking,Commercial Building,11215,BROOKLYN,In Progress,Resolution for complaint 5764
5766,05/11/2023 12:00:00 AM,03/30/2023 12:00:00 AM,HPD,Plumbing,Descriptor for Rodent,Park/Playground,11215,STATEN ISLAND,Open,Resolution for complaint 5765
5767,09/02/2023 12:00:00 AM,02/24/2023 12:00:00 AM,NYPD,Paint/Plaster,Descriptor for Street Light Condition,Residential Building,10002,MANHATTAN,Pending,
5768,04/30/2023 12:00:00 AM,04/08/2023 12:00:00 AM,FDNY,Noise - Residential,Descriptor for Noise - Residential,Commercial Building,10301,BRONX,Pending,Resolution for complaint 5767
5769,02/12/2023 12:00:00 AM,03/06/2023 12:00:00 AM,HPD,Paint/Plaster,Descriptor for Heat/Hot Water,Street/Sidewalk,11372,QUEENS,Open,Resolution for complaint 5768
5770,05/26/2023 12:00:00 AM,,DPR,Street Light Condition,Descriptor for Heat/Hot Water,School,10451,QUEENS,Open,Resolution for complaint 5769
5771,11/03/2023 12:00:00 AM,,DSNY,Heat/Hot Water,Descriptor for Street Condition,Street/Sidewalk,10451,BROOKLYN,Open,
5772,10/06/2023 12:00:00 AM,01/04/2023 12:00:00 AM,DSNY,Traffic Signal Condition,Descriptor for Street Light Condition,School,10451,BROOKLYN,Open,Resolution for complaint 5771
5773,07/29/2023 12:00:00 AM,11/16/2023 12:00:00 AM,NYPD,Street Light Condition,Descriptor for Building/Use,Residential Building,10002,STATEN ISLAND,Open,Resolution for complaint 5772
5774,05/12/2023 12:00:00 AM,,DOB,Sanitation Condition,Descriptor for Street Condition,Park/Playground,10451,BRONX,In Progress,Resolution for complaint 5773
5775,04/07/2023 12:00:00 AM,01/05/2023 12:00:00 AM,HPD,Noise - Residential,Descriptor for Paint/Plaster,Park/Playground,10003,STATEN ISLAND,Open,Resolution for complaint 5774
5776,01/03/2023 12:00:00 AM,09/24/2023 12:00:00 AM,DSNY,Street Condition,Descriptor for Plumbing,Commercial Building,10002,BROOKLYN,Closed,Resolution for complaint 5775
5777,12/30/2023 12:00:00 AM,,NYPD,Plumbing,Descriptor for Traffic Signal Condition,Street/Sidewalk,11201,MANHATTAN,Open,
5778,01/04/2023 12:00:00 AM,,HPD,Street Light Condition,Descriptor for Water System,School,10003,BROOKLYN,Closed,Resolution for complaint 5777
5779,10/23/2023 12:00:00 AM,,NYPD,Building/Use,Descriptor for Air Quality,School,11201,BROOKLYN,Open,Resolution for complaint 5778
5780,09/25/2023 12:00:00 AM,08/26/2023 12:00:00 AM,DEP,Street Condition,Descriptor for Heat/Hot Water,Commercial Building,10003,BROOKLYN,In Progress,
5781,03/02/2023 12:00:00 AM,09/30/2023 12:00:00 AM,DSNY,Paint/Plaster,Descriptor for Street Light Condition,Commercial Building,11372,MANHATTAN,Open,Resolution for complaint 5780
5782,09/24/2023 12:00:00 AM,,DEP,Air Quality,Descriptor for Street Condition,Residential Building,10001,BROOKLYN,Open,Resolution for complaint 5781
5783,01/04/2023 12:00:00 AM,09/23/2023 12:00:00 AM,NYPD,Water System,Descriptor for Building/Use,Commercial Building,10002,BROOKLYN,Open,Resolution for complaint 5782
5784,07/12/2023 12:00:00 AM,12/07/2023 12:00:00 AM,DPR,Building/Use,Descriptor for Heat/Hot Water,School,10301,BRONX,Closed,Resolution for complaint 5783
5785,12/02/2023 12:00:00 AM,04/03/2023 12:00:00 AM,DOB,Building/Use,Descriptor for Illegal Parking,Commercial Building,10451,MANHATTAN,Pending,Resolution for complaint 5784
5786,04/16/2023 12:00:00 AM,09/03/2023 12:00:00 AM,NYPD,Building/Use,Descriptor for Traffic Signal Condition,Park/Playground,10002,BROOKLYN,Pending,Resolution for complaint 5785
5787,12/19/2023 12:00:00 AM,05/14/2023 12:00:00 AM,DOT,Illegal Parking,Descriptor for Rodent,Commercial Building,10001,BROOKLYN,Pending,Resolution for complaint 5786
5788,06/11/2023 12:00:00 AM,07/05/2023 12:00:00 AM,FDNY,Traffic Signal Condition,Descriptor for Air Quality,Street/Sidewalk,11201,BROOKLYN,Closed,Resolution for complaint 5787
5789,07/29/2023 12:00:00 AM,05/17/2023 12:00:00 AM,DSNY,Plumbing,Descriptor for Graffiti,School,10003,STATEN ISLAND,Closed,
5790,07/05/2023 12:00:00 AM,07/14/2023 12:00:00 AM,HPD,Paint/Plaster,Descriptor for Street Condition,School,10002,STATEN ISLAND,Closed,Resolution for complaint 5789
5791,02/24/2023 12:00:00 AM,,DOT,Paint/Plaster,Descriptor for Street Condition,Commercial Building,10451,STATEN ISLAND,Pending,
5792,03/21/2023 12:00:00 AM,01/17/2023 12:00:00 AM,FDNY,Noise - Residential,Descriptor for Air Quality,Park/Playground,11372,STATEN ISLAND,Pending,Resolution for complaint 5791
5793,08/07/2023 12:00:00 AM,11/13/2023 12:00:00 AM,FDNY,Street Condition,Descriptor for Illegal Parking,Commercial Building,10001,BRONX,Open,Resolution for complaint 5792
5794,11/30/2023 12:00:00 AM,,NYPD,Water System,Descriptor for Blocked Driveway,Street/Sidewalk,10301,MANHATTAN,Pending,Resolution for complaint 5793
5795,10/27/2023 12:00:00 AM,12/09/2023 12:00:00 AM,DOT,Plumbing,Descriptor for Graffiti,School,10003,BROOKLYN,Pending,
5796,05/10/2023 12:00:00 AM,07/15/2023 12:00:00 AM,FDNY,Building/Use,Descriptor for Graffiti,School,10451,BRONX,Pending,Resolution for complaint 5795
5797,05/14/2023 12:00:00 AM,10/11/2023 12:00:00 AM,FDNY,Paint/Plaster,Descriptor for Illegal Parking,Park/Playground,10301,MANHATTAN,In Progress,Resolution for complaint 5796
5798,10/02/2023 12:00:00 AM,,FDNY,Illegal Parking,Descriptor for Paint/Plaster,Street/Sidewalk,10001,MANHATTAN,Open,Resolution for complaint 5797
5799,08/05/2023 12:00:00 AM,,DPR,Traffic Signal Condition,Descriptor for Street Condition,Commercial Building,11372,QUEENS,Open,Resolution for complaint 5798
5800,10/17/2023 12:00:00 AM,,DEP,Illegal Parking,Descriptor for Noise - Residential,Commercial Building,10002,BROOKLYN,In Progress,Resolution for complaint 5799
5801,07/07/2023 12:00:00 AM,08/14/2023 12:00:00 AM,HPD,Heat/Hot Water,Descriptor for Rodent,School,10002,MANHATTAN,Open,Resolution for complaint 5800
5802,11/10/2023 12:00:00 AM,11/27/2023 12:00:00 AM,NYPD,Plumbing,Descriptor for Air Quality,Park/Playground,11201,BRONX,Closed,Resolution for complaint 5801
5803,05/22/2023 12:00:00 AM,02/02/2023 12:00:00 AM,NYPD,Water System,Descriptor for Illegal Parking,School,11201,MANHATTAN,In Progress,
5804,12/15/2023 12:00:00 AM,04/21/2023 12:00:00 AM,HPD,Sanitation Condition,Descriptor for Traffic Signal Condition,School,10001,MANHATTAN,Open,Resolution for complaint 5803
5805,07/23/2023 12:00:00 AM,,DEP,Traffic Signal Condition,Descriptor for Paint/Plaster,School,10001,STATEN ISLAND,In Progress,Resolution for complaint 5804
5806,04/15/2023 12:00:00 AM,04/22/2023 12:00:00 AM,DOB,Noise - Residential,Descriptor for Illegal Parking,School,11215,QUEENS,Open,Resolution for complaint 5805
5807,07/31/2023 12:00:00 AM,12/02/2023 12:00:00 AM,DEP,Traffic Signal Condition,Descriptor for Heat/Hot Water,Street/Sidewalk,11372,MANHATTAN,Pending,
5808,10/10/2023 12:00:00 AM,04/06/2023 12:00:00 AM,DEP,Sanitation Condition,Descriptor for Paint/Plaster,Street/Sidewalk,10002,MANHATTAN,Open,Resolution for complaint 5807
5809,10/13/2023 12:00:00 AM,01/15/2023 12:00:00 AM,DOT,Street Condition,Descriptor for Street Condition,Commercial Building,10451,BRONX,Open,Resolution for complaint 5808
5810,09/05/2023 12:00:00 AM,03/30/2023 12:00:00 AM,HPD,Water System,Descriptor for Graffiti,Commercial Building,10301,STATEN ISLAND,Pending,Resolution for complaint 5809
5811,04/02/2023 12:00:00 AM,,FDNY,Plumbing,Descriptor for Blocked Driveway,Commercial Building,10003,BRONX,In Progress,Resolution for complaint 5810
5812,07/09/2023 12:00:00 AM,11/11/2023 12:00:00 AM,DOT,Graffiti,Descriptor for Building/Use,Commercial Building,10002,BRONX,In Progress,Resolution for complaint 5811
5813,10/14/2023 12:00:00 AM,,FDNY,Rodent,Descriptor for Street Condition,Residential Building,11201,BRONX,Open,
5814,10/12/2023 12:00:00 AM,03/29/2023 12:00:00 AM,FDNY,Street Light Condition,Descriptor for Blocked Driveway,Commercial Building,10001,QUEENS,Closed,Resolution for complaint 5813
5815,09/05/2023 12:00:00 AM,08/07/2023 12:00:00 AM,DEP,Rodent,Descriptor for Street Light Condition,Street/Sidewalk,11215,BROOKLYN,Pending,Resolution for complaint 5814
5816,05/10/2023 12:00:00 AM,12/03/2023 12:00:00 AM,DPR,Paint/Plaster,Descriptor for Sanitation Condition,Residential Building,10003,BROOKLYN,Pending,Resolution for complaint 5815
5817,06/07/2023 12:00:00 AM,02/08/2023 12:00:00 AM,HPD,Sanitation Condition,Descriptor for Illegal Parking,Residential Building,10001,BROOKLYN,Pending,Resolution for complaint 5816
5818,10/23/2023 12:00:00 AM,05/01/2023 12:00:00 AM,HPD,Illegal Parking,Descriptor for Blocked Driveway,Residential Building,10002,STATEN ISLAND,Open,Resolution for complaint 5817
5819,06/26/2023 12:00:00 AM,03/15/2023 12:00:00 AM,DEP,Sanitation Condition,Descriptor for Water System,Residential Building,11372,BRONX,In Progress,Resolution for complaint 5818
5820,12/28/2023 12:00:00 AM,,DEP,Street Light Condition,Descriptor for Illegal Parking,Commercial Building,10001,BROOKLYN,In Progress,Resolution for complaint 5819
5821,07/23/2023 12:00:00 AM,,DOB,Noise - Residential,Descriptor for Water System,School,11372,BRONX,Open,Resolution for complaint 5820
5822,03/12/2023 12:00:00 AM,12/26/2023 12:00:00 AM,HPD,Air Quality,Descriptor for Sanitation Condition,School,10003,BRONX,Open,
5823,12/04/2023 12:00:00 AM,10/23/2023 12:00:00 AM,DOT,Street Condition,Descriptor for Blocked Driveway,Park/Playground,10301,BROOKLYN,Pending,
5824,03/02/2023 12:00:00 AM,10/04/2023 12:00:00 AM,DOB,Rodent,Descriptor for Heat/Hot Water,Residential Building,11201,BRONX,Pending,Resolution for complaint 5823
5825,04/28/2023 12:00:00 AM,,DOT,Rodent,Descriptor for Sanitation Condition,Residential Building,10002,QUEENS,Pending,Resolution for complaint 5824
5826,08/17/2023 12:00:00 AM,06/07/2023 12:00:00 AM,DPR,Plumbing,Descriptor for Illegal Parking,Park/Playground,10002,BROOKLYN,Pending,Resolution for complaint 5825
5827,12/25/2023 12:00:00 AM,,FDNY,Rodent,Descriptor for Traffic Signal Condition,Park/Playground,10301,MANHATTAN,Open,Resolution for complaint 5826
5828,03/24/2023 12:00:00 AM,,DEP,Heat/Hot Water,Descriptor for Street Condition,School,10451,BRONX,In Progress,
5829,02/21/2023 12:00:00 AM,08/26/2023 12:00:00 AM,DSNY,Noise - Residential,Descriptor for Air Quality,Commercial Building,11372,STATEN ISLAND,Pending,Resolution for complaint 5828
5830,04/20/2023 12:00:00 AM,09/10/2023 12:00:00 AM,FDNY,Building/Use,Descriptor for Sanitation Condition,Commercial Building,10451,QUEENS,In Progress,Resolution for complaint 5829
5831,09/18/2023 12:00:00 AM,,DSNY,Blocked Driveway,Descriptor for Paint/Plaster,Commercial Building,10301,BRONX,Pending,Resolution for complaint 5830
5832,07/25/2023 12:00:00 AM,05/29/2023 12:00:00 AM,HPD,Street Condition,Descriptor for Air Quality,Street/Sidewalk,10003,BROOKLYN,Pending,Resolution for complaint 5831
5833,06/23/2023 12:00:00 AM,,DSNY,Illegal Parking,Descriptor for Traffic Signal Condition,School,10003,BROOKLYN,In Progress,Resolution for complaint 5832
5834,10/09/2023 12:00:00 AM,,DEP,Heat/Hot Water,Descriptor for Graffiti,Residential Building,11215,STATEN ISLAND,In Progress,
5835,11/11/2023 12:00:00 AM,05/10/2023 12:00:00 AM,DOT,Blocked Driveway,Descriptor for Plumbing,Commercial Building,10002,MANHATTAN,Pending,Resolution for complaint 5834
5836,12/23/2023 12:00:00 AM,09/13/2023 12:00:00 AM,DOT,Traffic Signal Condition,Descriptor for Street Condition,Park/Playground,10003,QUEENS,Closed,Resolution for complaint 5835
5837,12/17/2023 12:00:00 AM,03/01/2023 12:00:00 AM,DOB,Air Quality,Descriptor for Plumbing,School,10451,BROOKLYN,Open,
5838,12/28/2023 12:00:00 AM,,HPD,Blocked Driveway,Descriptor for Blocked Driveway,School,11372,BRONX,Closed,Resolution for complaint 5837
5839,01/27/2023 12:00:00 AM,10/26/2023 12:00:00 AM,DOB,Plumbing,Descriptor for Rodent,Park/Playground,10001,STATEN ISLAND,Closed,Resolution for complaint 5838
5840,03/24/2023 12:00:00 AM,04/06/2023 12:00:00 AM,HPD,Building/Use,Descriptor for Noise - Residential,Park/Playground,11201,MANHATTAN,In Progress,Resolution for complaint 5839
5841,07/19/2023 12:00:00 AM,08/14/2023 12:00:00 AM,FDNY,Graffiti,Descriptor for Paint/Plaster,Street/Sidewalk,11215,BRONX,Closed,Resolution for complaint 5840
5842,11/22/2023 12:00:00 AM,,FDNY,Plumbing,Descriptor for Illegal Parking,Park/Playground,10002,QUEENS,Closed,Resolution for complaint 5841
5843,01/03/2023 12:00:00 AM,,DOT,Blocked Driveway,Descriptor for Graffiti,School,10001,BROOKLYN,In Progress,
5844,02/16/2023 12:00:00 AM,,NYPD,Street Condition,Descriptor for Illegal Parking,Street/Sidewalk,10002,BROOKLYN,Open,Resolution for complaint 5843
5845,03/16/2023 12:00:00 AM,08/28/2023 12:00:00 AM,DOT,Water System,Descriptor for Street Condition,Street/Sidewalk,11372,STATEN ISLAND,Open,
5846,08/30/2023 12:00:00 AM,09/12/2023 12:00:00 AM,DOB,Paint/Plaster,Descriptor for Noise - Residential,Street/Sidewalk,10003,MANHATTAN,Pending,Resolution for complaint 5845
5847,11/04/2023 12:00:00 AM,04/20/2023 12:00:00 AM,DSNY,Air Quality,Descriptor for Noise - Residential,School,10003,STATEN ISLAND,Closed,Resolution for complaint 5846
